Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
207,Exit long,2026-02-23 13:00:00,SL,1855.19,0.0512,99.80825600000001,-5.02,-5.02,0.48,0.48,-5.44,-5.45,56.3,56.3
207,Entry long,2026-02-23 09:00:00,Long,1949.38,0.0512,99.80825600000001,-5.02,-5.02,0.48,0.48,-5.44,-5.45,56.3,56.3
208,Exit long,2026-03-01 07:00:00,TP1 VWAP,1946.07,0.0107,19.960314999999998,0.82,4.11,0.93,4.68,-0.26,-1.31,57.04,57.04
208,Entry long,2026-02-28 19:00:00,Long,1865.45,0.0107,19.960314999999998,0.82,4.11,0.93,4.68,-0.26,-1.31,57.04,57.04
209,Exit long,2026-03-01 17:00:00,BE Stop,2010.36,0.0429,80.027805,6.05,7.55,8.02,10.01,-1.05,-1.31,63.17,63.17
209,Entry long,2026-02-28 19:00:00,Long,1865.45,0.0429,80.027805,6.05,7.55,8.02,10.01,-1.05,-1.31,63.17,63.17
210,Exit long,2026-03-10 07:00:00,TP1 VWAP,2032.86,0.0102,19.854402,0.84,4.23,1.07,5.39,-0.41,-2.08,63.93,63.93
210,Entry long,2026-03-08 15:00:00,Long,1946.51,0.0102,19.854402,0.84,4.23,1.07,5.39,-0.41,-2.08,63.93,63.93
211,Exit long,2026-03-10 10:00:00,BE Stop,2001.75,0.0411,80.001561,2.11,2.63,4.32,5.39,-1.66,-2.08,66.12,66.12
211,Entry long,2026-03-08 15:00:00,Long,1946.51,0.0411,80.001561,2.11,2.63,4.32,5.39,-1.66,-2.08,66.12,66.12
212,Exit long,2026-03-25 11:00:00,TP1 VWAP,2155.16,0.0094,19.909482000000004,0.31,1.55,0.4,2.02,-0.07,-0.33,66.35,66.35
212,Entry long,2026-03-25 06:00:00,Long,2118.03,0.0094,19.909482000000004,0.31,1.55,0.4,2.02,-0.07,-0.33,66.35,66.35
213,Exit long,2026-03-26 03:00:00,BE Stop,2161.7,0.0378,80.06153400000001,1.49,1.86,2.98,3.72,-0.26,-0.33,67.92,67.92
213,Entry long,2026-03-25 06:00:00,Long,2118.03,0.0378,80.06153400000001,1.49,1.86,2.98,3.72,-0.26,-0.33,67.92,67.92
214,Exit long,2026-03-27 22:00:00,SL,1989.73,0.048,99.84384,-4.53,-4.53,0.13,0.13,-5.05,-5.05,63.38,63.38
214,Entry long,2026-03-27 01:00:00,Long,2080.08,0.048,99.84384,-4.53,-4.53,0.13,0.13,-5.05,-5.05,63.38,63.38
215,Exit long,2026-04-01 01:00:00,TP1 VWAP,2074.01,0.0098,19.992881999999998,0.29,1.46,0.36,1.8,-0.08,-0.4,63.6,63.6
215,Entry long,2026-03-31 23:00:00,Long,2040.09,0.0098,19.992881999999998,0.29,1.46,0.36,1.8,-0.08,-0.4,63.6,63.6
216,Exit long,2026-04-01 02:00:00,BE Stop,2045.01,0.0392,79.97152799999999,0.03,0.04,1.93,2.41,-0.32,-0.4,63.71,63.71
216,Entry long,2026-03-31 23:00:00,Long,2040.09,0.0392,79.97152799999999,0.03,0.04,1.93,2.41,-0.32,-0.4,63.71,63.71
217,Exit long,2026-04-29 20:00:00,TP1 VWAP,2338.51,0.0086,19.899884,0.17,0.86,0.26,1.3,-0.52,-2.59,63.8,63.8
217,Entry long,2026-04-28 01:00:00,Long,2313.94,0.0086,19.899884,0.17,0.86,0.26,1.3,-0.52,-2.59,63.8,63.8
218,Exit long,2026-04-29 23:00:00,BE Stop,2315.23,0.0346,80.062324,-0.12,-0.14,1.04,1.3,-2.07,-2.59,63.77,63.77
218,Entry long,2026-04-28 01:00:00,Long,2313.94,0.0346,80.062324,-0.12,-0.14,1.04,1.3,-2.07,-2.59,63.77,63.77
219,Exit long,2026-05-12 19:00:00,SL,2287.11,0.0428,99.825008,-2.13,-2.14,0.45,0.45,-2.5,-2.5,61.63,61.63
219,Entry long,2026-05-12 02:00:00,Long,2332.36,0.0428,99.825008,-2.13,-2.14,0.45,0.45,-2.5,-2.5,61.63,61.63
220,Exit long,2026-05-16 00:00:00,SL,2212.76,0.0441,99.8424,-2.46,-2.46,0,0,-2.54,-2.54,59.17,59.17
220,Entry long,2026-05-15 18:00:00,Long,2264,0.0441,99.8424,-2.46,-2.46,0,0,-2.54,-2.54,59.17,59.17
